Os01g0100100	LOC_Os01g01010.1,LOC_Os01g01010.2
Os01g0112050	LOC_Os01g02170.2
Os01g0112100	LOC_Os01g02170.1,LOC_Os01g02170.2
Os01g0112201	None
Os01g0112300	LOC_Os01g02180.1,LOC_Os01g02180.2
Os01g0112400	LOC_Os01g02190.1
Os01g0112500	LOC_Os01g02200.1
Os01g0112600	None
Os01g0112701	None
Os01g0112800	LOC_Os01g02250.1
Os01g0113000	LOC_Os01g02270.1
Os01g0113150	LOC_Os01g02280.1
Os01g0113200	LOC_Os01g02290.1,LOC_Os01g02290.2
Os01g0113300	LOC_Os01g02300.1
Os01g0113325	None
Os01g0113350	LOC_Os01g02310.1
Os01g0113400	LOC_Os01g02320.1
Os01g0113450	None
Os01g0113500	None
Os01g0113600	LOC_Os01g02334.1
Os01g0113650	None
Os01g0113700	LOC_Os01g02350.1
Os01g0113750	None
Os01g0113800	LOC_Os01g02360.1
Os01g0113833	None
Os01g0113900	LOC_Os01g02370.1
Os01g0113950	None
Os01g0114000	LOC_Os01g02380.1
Os01g0114050	None
Os01g0114100	LOC_Os01g02390.1,LOC_Os01g02390.2
Os01g0114150	None
Os01g0114200	None
Os01g0114300	LOC_Os01g02400.1,LOC_Os01g02400.2,LOC_Os01g02400.3
Os01g0114400	LOC_Os01g02410.1
Os01g0114401	LOC_Os01g02410.1
Os01g0114402	None
Os01g0114450	LOC_Os01g02410.1
Os01g0114500	LOC_Os01g02420.1
Os01g0114550	None
Os01g0114600	LOC_Os01g02430.1
Os01g0114650	None
Os01g0114700	LOC_Os01g02440.1
Os01g0114800	LOC_Os01g02450.1
Os01g0114900	LOC_Os01g02460.1
Os01g0115100	LOC_Os01g02490.1,LOC_Os01g02490.2
Os01g0115200	LOC_Os01g02500.1
Os01g0115300	None
Os01g0115500	LOC_Os01g02550.1
Os01g0115533	None
Os01g0115566	LOC_Os01g02550.1
Os01g0115600	LOC_Os01g02560.1
Os01g0115700	LOC_Os01g02570.1
Os01g0115725	None
Os01g0115750	LOC_Os01g02580.1
Os01g0115751	None
Os01g0115752	None
Os01g0115800	LOC_Os01g02590.1
Os01g0115900	LOC_Os01g02600.1
Os01g0115950	None
Os01g0116000	LOC_Os01g02610.1
Os01g0116100	None
Os01g0116101	None
Os01g0116200	LOC_Os01g02680.1
Os01g0116250	None
Os01g0116300	LOC_Os01g02690.1
Os01g0116400	LOC_Os01g02700.1
Os01g0116600	LOC_Os01g02720.1,LOC_Os01g02720.2
Os01g0116650	None
Os01g0116800	LOC_Os01g02730.1
Os01g0116900	LOC_Os01g02710.1,LOC_Os01g02750.1
Os01g0116901	None
Os01g0117000	LOC_Os01g02760.1
Os01g0117025	None
Os01g0117050	None
Os01g0117100	LOC_Os01g02770.1
Os01g0117200	LOC_Os01g02780.1
Os01g0117233	None
Os01g0117266	LOC_Os01g02790.1
Os01g0117300	LOC_Os01g02790.1
Os01g0117400	LOC_Os01g02800.1
Os01g0117450	None
Os01g0117500	LOC_Os01g02810.1
Os01g0117600	LOC_Os01g02830.1
Os01g0117650	None
Os01g0117700	LOC_Os01g02840.1
Os01g0117800	LOC_Os01g02860.1
Os01g0117900	LOC_Os01g02870.1
Os01g0118000	LOC_Os01g02880.1
Os01g0118033	None
Os01g0118066	None
Os01g0118100	LOC_Os01g02884.1
Os01g0118300	LOC_Os01g02890.1
Os01g0118350	None
Os01g0118400	LOC_Os01g02900.1,LOC_Os01g02900.2
Os01g0118600	LOC_Os01g02910.1
Os01g0118700	LOC_Os01g02920.1
Os01g0119000	LOC_Os01g02930.1
Os01g0119050	LOC_Os01g02940.1,LOC_Os01g02940.2,LOC_Os01g02940.3,LOC_Os01g02940.4,LOC_Os01g02940.6
Os01g0119100	LOC_Os01g02940.1,LOC_Os01g02940.2,LOC_Os01g02940.3,LOC_Os01g02940.4,LOC_Os01g02940.6
Os01g0119301	None
Os01g0119500	LOC_Os01g02960.1
Os01g0119700	LOC_Os01g02980.1
Os01g0119800	None
Os01g0120300	LOC_Os01g03020.1,LOC_Os01g03020.2
Os01g0120400	LOC_Os01g03030.1,LOC_Os01g03030.2
Os01g0120500	LOC_Os01g03040.1
Os01g0120600	LOC_Os01g03050.1
Os01g0120700	LOC_Os01g03060.1,LOC_Os01g03060.2,LOC_Os01g03060.3
Os01g0120800	LOC_Os01g03070.1,LOC_Os01g03070.2
Os01g0121000	LOC_Os01g03080.1
Os01g0121100	LOC_Os01g03090.1,LOC_Os01g03090.2
Os01g0121200	LOC_Os01g03100.1,LOC_Os01g03100.2
Os01g0121300	LOC_Os01g03110.1
Os01g0121400	None
Os01g0121500	LOC_Os01g03130.1
Os01g0121600	LOC_Os01g03144.1
Os01g0121700	LOC_Os01g03144.1
Os01g0121800	LOC_Os01g03160.1,LOC_Os01g03160.2
Os01g0121900	LOC_Os01g03170.1
Os01g0121925	None
Os01g0121950	LOC_Os01g03170.1
Os01g0122000	LOC_Os01g03180.1
Os01g0122200	LOC_Os01g03190.1
Os01g0122367	None
Os01g0122534	None
Os01g0122701	LOC_Os01g03210.1
Os01g0123100	LOC_Os01g03220.1
Os01g0123200	LOC_Os01g03260.1
Os01g0123500	LOC_Os01g03270.1
Os01g0123700	LOC_Os01g03290.1
Os01g0123800	LOC_Os01g03300.1
Os01g0123900	LOC_Os01g03310.1
Os01g0124000	LOC_Os01g03320.1
Os01g0124100	LOC_Os01g03330.1
Os01g0124200	LOC_Os01g03340.1
Os01g0124401	LOC_Os01g03360.1
Os01g0124500	LOC_Os01g03370.1
Os01g0124550	None
Os01g0124600	LOC_Os01g03380.1
Os01g0124650	LOC_Os01g03390.1
Os01g0124700	None
Os01g0124900	LOC_Os01g03400.1,LOC_Os01g03410.1
Os01g0125000	LOC_Os01g03420.1
Os01g0125100	LOC_Os01g03429.1
Os01g0125500	LOC_Os01g03464.1
Os01g0125550	LOC_Os01g03480.1
Os01g0125600	LOC_Os01g03490.1
Os01g0125700	LOC_Os01g03500.1
Os01g0125800	LOC_Os01g03510.1
Os01g0125850	None
Os01g0125900	LOC_Os01g03520.1
Os01g0126000	None
Os01g0126100	LOC_Os01g03530.1,LOC_Os01g03530.2
Os01g0126200	LOC_Os01g03549.1
Os01g0126401	None
Os01g0126600	LOC_Os01g03570.1
Os01g0126900	LOC_Os01g03620.1
Os01g0127000	LOC_Os01g03630.1
Os01g0127100	None
Os01g0127200	LOC_Os01g03640.1
Os01g0127300	LOC_Os01g03650.1
Os01g0127400	LOC_Os01g03660.2,LOC_Os01g03660.3
Os01g0127450	LOC_Os01g03660.2
Os01g0127500	LOC_Os01g03670.1
Os01g0127600	LOC_Os01g03680.1
Os01g0127700	LOC_Os01g03690.1
Os01g0127800	None
Os01g0127900	LOC_Os01g03710.1
Os01g0128000	LOC_Os01g03720.1
Os01g0128100	LOC_Os01g03740.1
Os01g0128200	LOC_Os01g03730.1
Os01g0128250	None
Os01g0128300	LOC_Os01g03750.1
Os01g0128400	LOC_Os01g03760.1,LOC_Os01g03760.2
Os01g0128700	LOC_Os01g03810.1
Os01g0128800	LOC_Os01g03820.1
Os01g0129200	LOC_Os01g03840.1
Os01g0129500	LOC_Os01g03870.1
Os01g0129550	None
Os01g0129600	LOC_Os01g03890.1
Os01g0129800	LOC_Os01g03900.1
Os01g0130000	LOC_Os01g03914.1,LOC_Os01g03914.2,LOC_Os01g03914.3
Os01g0130100	None
Os01g0130200	LOC_Os01g03940.1
Os01g0130400	LOC_Os01g03950.1
Os01g0130500	None
Os01g0130633	None
Os01g0130766	None
Os01g0130900	LOC_Os01g03980.1
Os01g0131066	LOC_Os01g03989.1
Os01g0131132	None
Os01g0131200	LOC_Os01g04000.1
Os01g0131250	LOC_Os01g04005.1
Os01g0131300	LOC_Os01g04010.1
Os01g0131450	None
Os01g0131600	LOC_Os01g04020.1,LOC_Os01g04020.2
Os01g0131800	LOC_Os01g04030.1
Os01g0131900	LOC_Os01g04040.1
Os01g0132000	LOC_Os01g04050.1
Os01g0132050	None
Os01g0132100	LOC_Os01g04070.1
Os01g0132150	None
Os01g0132200	LOC_Os01g04080.1
Os01g0132400	LOC_Os01g04090.1
Os01g0132500	LOC_Os01g04100.1
Os01g0132700	LOC_Os01g04110.1
Os01g0132766	LOC_Os01g04120.1
Os01g0132800	LOC_Os01g04130.1
Os01g0132950	None
Os01g0133100	LOC_Os01g04160.1
Os01g0133200	LOC_Os01g04170.1
Os01g0133400	LOC_Os01g04190.1,LOC_Os01g04190.2,LOC_Os01g04190.3,LOC_Os01g04190.4
Os01g0133500	LOC_Os01g04200.1,LOC_Os01g04200.2,LOC_Os01g04200.3,LOC_Os01g04200.4
Os01g0133600	LOC_Os01g04210.1
Os01g0133650	None
Os01g0133700	LOC_Os01g04220.1
Os01g0133766	None
Os01g0133799	None
Os01g0133832	None
Os01g0133866	None
Os01g0133900	LOC_Os01g04230.1
Os01g0134200	LOC_Os01g04250.1
Os01g0134500	LOC_Os01g04260.1
Os01g0134700	LOC_Os01g04280.1
Os01g0134800	LOC_Os01g04290.1
Os01g0134850	None
Os01g0134900	LOC_Os01g04300.1
Os01g0135000	None
Os01g0135600	LOC_Os01g04324.1
Os01g0135700	LOC_Os01g04330.1
Os01g0135800	LOC_Os01g04340.1
Os01g0135900	LOC_Os01g04350.1
Os01g0136000	LOC_Os01g04360.1
Os01g0136050	None
Os01g0136100	LOC_Os01g04370.1
Os01g0136200	LOC_Os01g04380.1
Os01g0136300	LOC_Os01g04390.1
Os01g0136400	LOC_Os01g04409.1
Os01g0136450	None
Os01g0136500	None
Os01g0136501	LOC_Os01g04430.1
Os01g0136502	None
Os01g0136600	None
Os01g0136700	LOC_Os01g04440.1
Os01g0136800	LOC_Os01g04450.1
Os01g0136850	None
Os01g0136900	LOC_Os01g04460.1
Os01g0137066	None
Os01g0137125	None
Os01g0137150	None
Os01g0137200	LOC_Os01g04480.1
Os01g0137232	None
Os01g0137250	LOC_Os01g04480.1
Os01g0137266	None
Os01g0137282	LOC_Os01g04490.1
Os01g0137300	LOC_Os01g04500.1
Os01g0137400	LOC_Os01g04470.1,LOC_Os01g04490.1
Os01g0137401	None
Os01g0137500	LOC_Os01g04520.1
Os01g0137550	None
Os01g0137600	LOC_Os01g04530.1
Os01g0137700	LOC_Os01g04540.1
Os01g0137750	None
Os01g0137800	None
Os01g0137875	None
Os01g0137950	LOC_Os01g04550.1
Os01g0138000	None
Os01g0138050	None
Os01g0138100	None
Os01g0138166	None
Os01g0138232	None
Os01g0138300	LOC_Os01g04570.1,LOC_Os01g04570.2
Os01g0138350	None
Os01g0138400	LOC_Os01g04580.1
Os01g0138451	None
Os01g0138500	LOC_Os01g04590.1
Os01g0138600	LOC_Os01g04600.1,LOC_Os01g04600.2
Os01g0138800	LOC_Os01g04620.1,LOC_Os01g04620.2,LOC_Os01g04620.3
Os01g0138900	LOC_Os01g04630.1
Os01g0139000	LOC_Os01g04640.1
Os01g0139100	None
Os01g0139200	LOC_Os01g04650.1
Os01g0139600	LOC_Os01g04660.1,LOC_Os01g04660.2
Os01g0139700	LOC_Os01g04670.1
Os01g0139900	LOC_Os01g04690.1
Os01g0140001	None
Os01g0140100	LOC_Os01g04710.1
Os01g0140400	LOC_Os01g04720.1,LOC_Os01g04720.2
Os01g0140500	LOC_Os01g04730.1
Os01g0140601	None
Os01g0140700	LOC_Os01g04750.1
Os01g0141000	LOC_Os01g04800.1
Os01g0141100	LOC_Os01g04814.1,LOC_Os01g04814.3,LOC_Os01g04814.4
Os01g0141150	None
Os01g0141200	LOC_Os01g04830.1
Os01g0141300	LOC_Os01g04840.1
Os01g0141450	None
Os01g0141600	LOC_Os01g04860.1
Os01g0141700	LOC_Os01g04870.1
Os01g0141900	LOC_Os01g04880.1,LOC_Os01g04880.2
Os01g0142100	LOC_Os01g04900.1,LOC_Os01g04900.2,LOC_Os01g04900.3
Os01g0142200	LOC_Os01g04910.1
Os01g0142300	LOC_Os01g04920.1,LOC_Os01g04920.2,LOC_Os01g04920.3
Os01g0142400	None
Os01g0142500	LOC_Os01g04930.1
Os01g0142600	LOC_Os01g04950.3
Os01g0142800	LOC_Os01g04950.1,LOC_Os01g04950.2,LOC_Os01g04950.3,LOC_Os01g04950.4
Os01g0142875	None
Os01g0142950	None
Os01g0143100	LOC_Os01g04990.1,LOC_Os01g04990.2
Os01g0143200	LOC_Os01g05000.1
Os01g0143300	LOC_Os01g05010.1
Os01g0143350	None
Os01g0143400	LOC_Os01g05020.1
Os01g0143501	None
Os01g0143600	LOC_Os01g05040.1
Os01g0143650	LOC_Os01g05040.1
Os01g0143700	LOC_Os01g05050.1
Os01g0143750	None
Os01g0143800	LOC_Os01g05060.1
Os01g0143900	LOC_Os01g05064.1
Os01g0144000	LOC_Os01g05070.1,LOC_Os01g05070.2
Os01g0144100	LOC_Os01g05080.1,LOC_Os01g05080.2
Os01g0144200	LOC_Os01g05090.1
Os01g0144300	LOC_Os01g05100.1
Os01g0144340	None
Os01g0144380	LOC_Os01g05105.1
Os01g0144500	LOC_Os01g05120.1
Os01g0144600	LOC_Os01g05130.1
Os01g0144700	LOC_Os01g05140.1
Os01g0144800	LOC_Os01g05150.1
Os01g0144900	None
Os01g0145000	LOC_Os01g05170.1
Os01g0145101	None
Os01g0145200	LOC_Os01g05180.1
Os01g0145400	LOC_Os01g05210.1
Os01g0145500	LOC_Os01g05220.1
Os01g0145600	None
Os01g0145700	None
Os01g0145800	LOC_Os01g05250.1
Os01g0145900	LOC_Os01g05260.1
Os01g0146000	LOC_Os01g05280.1
Os01g0146101	LOC_Os01g05289.1
Os01g0146200	LOC_Os01g05310.1
Os01g0146351	None
Os01g0146500	LOC_Os01g05340.1
Os01g0146600	None
Os01g0146700	LOC_Os01g05370.1
Os01g0146801	LOC_Os01g05380.1
Os01g0146900	LOC_Os01g05390.1
Os01g0147001	LOC_Os01g05400.1
Os01g0147100	LOC_Os01g05410.1
Os01g0147166	None
Os01g0147200	LOC_Os01g05420.1
Os01g0147250	None
Os01g0147300	LOC_Os01g05430.1
Os01g0147400	LOC_Os01g05440.1
Os01g0147600	LOC_Os01g05450.1,LOC_Os01g05460.1
Os01g0147650	None
Os01g0147700	LOC_Os01g05470.1
Os01g0147800	LOC_Os01g05480.1,LOC_Os01g05480.2,LOC_Os01g05480.3
Os01g0147850	None
Os01g0147900	LOC_Os01g05490.1,LOC_Os01g05490.2
Os01g0147950	None
Os01g0148000	LOC_Os01g05500.1,LOC_Os01g05500.2
Os01g0148050	LOC_Os01g05500.1,LOC_Os01g05500.2
Os01g0148075	None
Os01g0148100	LOC_Os01g05510.1,LOC_Os01g05510.2,LOC_Os01g05510.3,LOC_Os01g05510.4,LOC_Os01g05510.5
Os01g0148200	LOC_Os01g05520.1
Os01g0148300	None
Os01g0148400	LOC_Os01g05530.1
Os01g0148500	LOC_Os01g05540.1
Os01g0148600	None
Os01g0148700	LOC_Os01g05560.1
Os01g0149200	LOC_Os01g05585.1
Os01g0149300	LOC_Os01g05590.1
Os01g0149350	LOC_Os01g05600.1
Os01g0149400	LOC_Os01g05610.1
Os01g0149500	LOC_Os01g05620.1
Os01g0149600	LOC_Os01g05630.1
Os01g0149700	LOC_Os01g05640.1
Os01g0149750	None
Os01g0149800	LOC_Os01g05650.1
Os01g0149900	LOC_Os01g05660.1,LOC_Os01g05660.2,LOC_Os01g05660.3
Os01g0150000	LOC_Os01g05670.1
Os01g0150100	LOC_Os01g05680.1
Os01g0150200	LOC_Os01g05694.1
Os01g0150301	None
Os01g0150400	LOC_Os01g05710.1
Os01g0150500	LOC_Os01g05720.1
Os01g0150700	LOC_Os01g05730.1
Os01g0150750	None
Os01g0150800	LOC_Os01g05744.1
Os01g0150900	LOC_Os01g05760.1,LOC_Os01g05780.1
Os01g0150950	LOC_Os01g05770.1
Os01g0151001	None
Os01g0151100	LOC_Os01g05790.1
Os01g0151200	LOC_Os01g05800.1,LOC_Os01g05800.2
Os01g0151400	LOC_Os01g05810.1
Os01g0151500	LOC_Os01g05820.1
Os01g0151600	LOC_Os01g05830.1
Os01g0151700	LOC_Os01g05840.1,LOC_Os01g05840.2
Os01g0151750	None
Os01g0151800	LOC_Os01g05850.1
Os01g0151900	LOC_Os01g05860.1
Os01g0152000	LOC_Os01g05870.1
Os01g0152050	None
Os01g0152100	LOC_Os01g05880.1
Os01g0152200	LOC_Os01g05890.1
Os01g0152300	LOC_Os01g05900.1
Os01g0152500	None
Os01g0152600	LOC_Os01g05940.1
Os01g0152675	None
Os01g0152687	LOC_Os01g05940.1
Os01g0152700	None
Os01g0152800	LOC_Os01g05960.1
Os01g0152850	None
Os01g0152900	LOC_Os01g05970.1
Os01g0152950	None
Os01g0152951	None
Os01g0153000	LOC_Os01g05980.1
Os01g0153050	None
Os01g0153100	LOC_Os01g05970.1
Os01g0153150	None
Os01g0153200	LOC_Os01g06000.1
Os01g0153250	LOC_Os01g06000.1
Os01g0153275	None
Os01g0153300	LOC_Os01g06010.1
Os01g0153400	LOC_Os01g06020.1
Os01g0153500	LOC_Os01g06030.1
Os01g0153550	None
Os01g0153600	LOC_Os01g06040.1
Os01g0153625	None
Os01g0153651	None
Os01g0153700	LOC_Os01g06050.1,LOC_Os01g06050.2
Os01g0153800	LOC_Os01g06060.1
Os01g0153900	LOC_Os01g06070.1
Os01g0153950	LOC_Os01g06080.1
Os01g0154000	LOC_Os01g06080.1
Os01g0154100	LOC_Os01g06090.1
Os01g0154200	LOC_Os01g06120.1
Os01g0154250	None
Os01g0154300	LOC_Os01g06130.1,LOC_Os01g06130.2
Os01g0154500	LOC_Os01g06140.1
Os01g0154550	None
Os01g0154600	LOC_Os01g06150.1
Os01g0154950	None
Os01g0155000	LOC_Os01g06220.1
Os01g0155100	LOC_Os01g06230.1
Os01g0155200	LOC_Os01g06240.1
Os01g0155300	LOC_Os01g06250.1
Os01g0155400	LOC_Os01g06270.1,LOC_Os01g06270.2
Os01g0155500	LOC_Os01g06280.1,LOC_Os01g06280.2
Os01g0155600	LOC_Os01g06290.1,LOC_Os01g06290.2,LOC_Os01g06290.3,LOC_Os01g06290.4
Os01g0155800	LOC_Os01g06310.1
Os01g0156000	LOC_Os01g06320.1
Os01g0156300	LOC_Os01g06340.1
Os01g0156400	LOC_Os01g06350.1
Os01g0156500	LOC_Os01g06360.1
Os01g0156600	LOC_Os01g06360.1
Os01g0156900	LOC_Os01g06380.1
Os01g0157001	LOC_Os01g06380.1
Os01g0157100	LOC_Os01g06390.1
Os01g0157200	LOC_Os01g06400.1
Os01g0157300	LOC_Os01g06410.1
Os01g0157400	LOC_Os01g06420.1
Os01g0157500	LOC_Os01g06430.1
Os01g0157600	LOC_Os01g06440.1
Os01g0157700	LOC_Os01g06450.1
Os01g0157800	LOC_Os01g06454.1
Os01g0157900	LOC_Os01g06460.1
Os01g0158000	LOC_Os01g06470.1
Os01g0158100	None
Os01g0158200	LOC_Os01g06490.1,LOC_Os01g06490.2
Os01g0158400	LOC_Os01g06500.1,LOC_Os01g06500.2
Os01g0158500	LOC_Os01g06510.1
Os01g0158533	None
Os01g0158566	None
Os01g0158600	LOC_Os01g06520.1
Os01g0158800	LOC_Os01g06540.1
Os01g0158850	LOC_Os01g06530.1
Os01g0158900	LOC_Os01g06550.1
Os01g0159000	LOC_Os01g06560.1,LOC_Os01g06560.2
Os01g0159200	LOC_Os01g06580.1
Os01g0159250	None
Os01g0159300	LOC_Os01g06590.1,LOC_Os01g06590.2,LOC_Os01g06590.3
Os01g0159400	LOC_Os01g06600.1,LOC_Os01g06600.2
Os01g0159500	LOC_Os01g06620.1
Os01g0159600	LOC_Os01g06630.1
Os01g0159800	LOC_Os01g06640.1,LOC_Os01g06640.2,LOC_Os01g06640.3
Os01g0160100	LOC_Os01g06660.1
Os01g0160150	None
Os01g0160200	LOC_Os01g06670.1
Os01g0160600	LOC_Os01g06720.1
Os01g0160700	LOC_Os01g06730.1
Os01g0160750	None
Os01g0160800	LOC_Os01g06740.1
Os01g0160850	None
Os01g0160900	LOC_Os01g06750.1
Os01g0161000	LOC_Os01g06760.1
Os01g0161200	None
Os01g0161300	LOC_Os01g06790.1
Os01g0162001	None
Os01g0162101	None
Os01g0162200	LOC_Os01g06870.1
Os01g0162300	LOC_Os01g06876.1
Os01g0162400	LOC_Os01g06882.1
Os01g0162500	LOC_Os01g06890.1
Os01g0162600	None
Os01g0162701	None
Os01g0162800	LOC_Os01g06900.1
Os01g0162900	None
Os01g0163000	LOC_Os01g06920.1
Os01g0163100	LOC_Os01g06940.1
Os01g0163300	LOC_Os01g06960.1
Os01g0163450	None
Os01g0163533	LOC_Os01g06970.1
Os01g0163600	LOC_Os01g06990.1
Os01g0163616	None
Os01g0163701	None
Os01g0163812	LOC_Os01g07000.1
Os01g0164000	LOC_Os01g07020.1
Os01g0164025	LOC_Os01g07010.1
Os01g0164075	LOC_Os01g07030.1
Os01g0164100	LOC_Os01g07040.1
Os01g0164200	LOC_Os01g07050.1
Os01g0164300	LOC_Os01g07060.1
Os01g0164400	LOC_Os01g07070.1,LOC_Os01g07070.2,LOC_Os01g07070.3,LOC_Os01g07070.4
Os01g0164500	LOC_Os01g07080.1,LOC_Os01g07080.2
Os01g0164600	LOC_Os01g07090.1
Os01g0164650	None
Os01g0164700	LOC_Os01g07100.1
Os01g0164800	LOC_Os01g07110.1
Os01g0164900	LOC_Os01g07110.1
Os01g0165000	LOC_Os01g07120.1,LOC_Os01g07120.2
Os01g0165100	LOC_Os01g07130.1
Os01g0165200	LOC_Os01g07140.1,LOC_Os01g07140.2
Os01g0165600	LOC_Os01g07150.1
Os01g0165666	LOC_Os01g07160.1
Os01g0165800	LOC_Os01g07170.1
Os01g0166000	LOC_Os01g07190.1
Os01g0166100	LOC_Os01g07200.1
Os01g0166200	None
Os01g0166300	LOC_Os01g07212.1
Os01g0166400	LOC_Os01g07212.1
Os01g0166500	LOC_Os01g07240.1
Os01g0166700	LOC_Os01g07250.1
Os01g0166800	LOC_Os01g07260.1
Os01g0167000	LOC_Os01g07280.1
Os01g0167100	None
Os01g0167400	LOC_Os01g07300.1,LOC_Os01g07300.2
Os01g0167500	LOC_Os01g07310.1,LOC_Os01g07310.2,LOC_Os01g07310.3,LOC_Os01g07310.4
Os01g0167600	LOC_Os01g07320.1
Os01g0167700	LOC_Os01g07330.1,LOC_Os01g07330.2,LOC_Os01g07330.3,LOC_Os01g07330.4
Os01g0167750	LOC_Os01g07340.1
Os01g0167800	LOC_Os01g07350.1
Os01g0167900	LOC_Os01g07360.1,LOC_Os01g07360.2,LOC_Os01g07360.3,LOC_Os01g07360.4
