NIP.MSU	NIP.RAPdb	MH63	ZS97
LOC_Os01g01390	Os01g0103800	MH01g0013200	ZS01g0013700
LOC_Os01g01400	Os01g0103900	MH01g0013300	ZS01g0013800
LOC_Os01g01410	Os01g0104000	MH01g0013400	ZS01g0013900
LOC_Os01g01420	Os01g0104100	MH01g0013500	ZS01g0014000
LOC_Os01g01430	Os01g0104200	MH01g0013600	ZS01g0014100
LOC_Os01g01440	Os01g0104300	None	None
LOC_Os01g01450	Os01g0104400	None	ZS01g0014300
LOC_Os01g01460	None	None	ZS01g0014400
LOC_Os01g01470	Os01g0104500	MH01g0014100	ZS01g0014600
LOC_Os01g01484	Os01g0104600	MH01g0014300	ZS01g0014700
LOC_Os01g01500	None	None	None
LOC_Os01g01510	Os01g0104800	MH01g0014400	ZS01g0014800
LOC_Os01g01520	Os01g0104900	MH01g0014500	ZS01g0014900
LOC_Os01g01530	None	None	None
LOC_Os01g01540	None	None	None
LOC_Os01g01550	None	MH01g0014700	None
LOC_Os01g01560	Os01g0105300	MH01g0014800	None
LOC_Os01g01570	Os01g0105400	None	None
LOC_Os01g01580	None	None	None
LOC_Os01g01590	None	None	None
LOC_Os01g01600	Os01g0105700	None	None
LOC_Os01g01610	Os01g0105800	None	None
LOC_Os01g01620	Os01g0105900	MH01g0015200	ZS01g0015900
LOC_Os01g01640	Os01g0106200	None	ZS01g0016200
LOC_Os01g01650	Os01g0106300	None	None
LOC_Os01g01660	Os01g0106400	MH01g0015600	None
LOC_Os01g01670	Os01g0106500	None	None
LOC_Os01g01680	Os01g0106600	MH01g0015800	ZS01g0016700
LOC_Os01g01689	Os01g0106700	MH01g0015900	ZS01g0016800
LOC_Os01g01689	Os01g0106750	MH01g0015900	ZS01g0016800
LOC_Os01g01700	Os01g0106800	MH01g0016000	ZS01g0016900
LOC_Os01g01710	Os01g0106900	MH01g0016100	ZS01g0017000
LOC_Os01g01720	Os01g0107000	MH01g0016200	ZS01g0017100
LOC_Os01g01730	Os01g0107200	MH01g0016400	ZS01g0017200
LOC_Os01g01740	Os01g0107400	MH01g0016500	ZS01g0017300
LOC_Os01g01760	None	None	None
LOC_Os01g01770	None	None	None
LOC_Os01g01780	Os01g0107700	MH01g0016800	ZS01g0017500
LOC_Os01g01790	Os01g0107900	MH01g0016900	ZS01g0017600
LOC_Os01g01800	Os01g0108000	None	ZS01g0017700
LOC_Os01g01810	None	None	None
LOC_Os01g01830	Os01g0108200	None	ZS01g0017800
LOC_Os01g01840	Os01g0108400	None	None
LOC_Os01g01840	Os01g0108500	None	None
LOC_Os01g01850	None	None	None
LOC_Os01g01860	None	MH01g0017300	None
LOC_Os01g01870	Os01g0108600	MH01g0017400	ZS01g0018000
LOC_Os01g01880	Os01g0108700	None	None
LOC_Os01g01890	Os01g0108800	MH01g0017500	ZS01g0018100
LOC_Os01g01900	None	None	None
LOC_Os01g01910	None	None	None
LOC_Os01g01920	Os01g0109300	MH01g0017900	ZS01g0018400
LOC_Os01g01925	Os01g0109366	None	None
LOC_Os01g01930	Os01g0109200	None	None
LOC_Os01g01940	Os01g0109500	None	None
LOC_Os01g01950	Os01g0109600	None	None
LOC_Os01g01960	Os01g0109700	MH01g0018200	ZS01g0018800
LOC_Os01g01970	Os01g0109750	MH01g0018300	ZS01g0018900
LOC_Os01g01980	Os01g0109900	None	ZS01g0019000
LOC_Os01g01990	None	None	None
LOC_Os01g02000	Os01g0110100	MH01g0018400	ZS01g0019200
LOC_Os01g02010	Os01g0110200	None	ZS01g0019300
LOC_Os01g02020	Os01g0110400	MH01g0018600	ZS01g0019700
LOC_Os01g02040	Os01g0110500	MH01g0018700	ZS01g0019800
LOC_Os01g02050	Os01g0110700	MH01g0018800	ZS01g0019900
LOC_Os01g02060	Os01g0110800	MH01g0018900	ZS01g0020000
LOC_Os01g02070	Os01g0111000	None	None
LOC_Os01g02080	Os01g0111100	None	ZS01g0020200
LOC_Os01g02090	Os01g0111200	MH01g0019100	ZS01g0020300
LOC_Os01g02100	Os01g0111400	MH01g0019200	ZS01g0020500
LOC_Os01g02110	Os01g0111500	None	ZS01g0020600
LOC_Os01g02120	Os01g0111600	None	ZS01g0020700
LOC_Os01g02130	Os01g0111700	None	ZS01g0020800
LOC_Os01g02139	Os01g0111800	None	None
LOC_Os01g02150	Os01g0111900	None	None
LOC_Os01g02160	Os01g0112000	None	ZS01g0021100
LOC_Os01g02170	Os01g0112100	None	ZS01g0021200
LOC_Os01g02170	Os01g0112050	None	ZS01g0021200
LOC_Os01g02180	Os01g0112300	None	ZS01g0021300
LOC_Os01g02190	Os01g0112400	None	ZS01g0021500
LOC_Os01g02200	Os01g0112500	None	None
LOC_Os01g02210	None	None	None
LOC_Os01g02220	None	None	None
LOC_Os01g02230	None	None	None
LOC_Os01g02240	None	None	None
LOC_Os01g02250	Os01g0112800	None	ZS01g0021900
LOC_Os01g02260	None	None	None
LOC_Os01g02270	Os01g0113000	None	None
LOC_Os01g02280	Os01g0113150	None	None
LOC_Os01g02290	Os01g0113200	None	None
LOC_Os01g02300	Os01g0113300	None	None
LOC_Os01g02310	Os01g0113350	None	None
LOC_Os01g02320	Os01g0113400	None	None
LOC_Os01g02334	Os01g0113600	None	None
LOC_Os01g02350	Os01g0113700	None	None
LOC_Os01g02360	Os01g0113800	MH01g0030200	ZS01g0022800
LOC_Os01g02370	Os01g0113900	None	None
LOC_Os01g02380	Os01g0114000	None	None
LOC_Os01g02390	Os01g0114100	MH01g0033600	None
LOC_Os01g02400	Os01g0114300	MH01g0033700	ZS01g0023100
LOC_Os01g02410	Os01g0114400	None	None
LOC_Os01g02410	Os01g0114401	None	None
LOC_Os01g02410	Os01g0114450	None	None
LOC_Os01g02420	Os01g0114500	MH01g0031300	ZS01g0023300
LOC_Os01g02430	Os01g0114600	MH01g0031400	ZS01g0023400
LOC_Os01g02440	Os01g0114700	MH01g0031500	ZS01g0023500
LOC_Os01g02450	Os01g0114800	None	None
LOC_Os01g02460	Os01g0114900	MH01g0031700	ZS01g0023700
LOC_Os01g02470	None	None	None
LOC_Os01g02480	None	MH01g0032100	None
LOC_Os01g02490	Os01g0115100	MH01g0032200	None
LOC_Os01g02500	Os01g0115200	None	None
LOC_Os01g02510	None	None	None
LOC_Os01g02520	None	None	None
LOC_Os01g02530	None	None	None
LOC_Os01g02540	None	None	None
LOC_Os01g02550	Os01g0115500	None	ZS01g0024400
LOC_Os01g02550	Os01g0115566	None	ZS01g0024400
LOC_Os01g02560	Os01g0115600	None	ZS01g0024500
LOC_Os01g02570	Os01g0115700	MH01g0032900	None
LOC_Os01g02580	Os01g0115750	None	None
LOC_Os01g02590	Os01g0115800	None	ZS01g0024800
LOC_Os01g02600	Os01g0115900	None	ZS01g0024900
LOC_Os01g02610	Os01g0116000	None	None
LOC_Os01g02629	None	None	None
LOC_Os01g02650	None	None	None
LOC_Os01g02660	None	None	None
LOC_Os01g02670	None	None	None
LOC_Os01g02680	Os01g0116200	MH01g0033900	ZS01g0023200
LOC_Os01g02690	Os01g0116300	MH01g0034000	None
LOC_Os01g02700	Os01g0116400	MH01g0034100	ZS01g0025200
LOC_Os01g02710	Os01g0116900	MH01g0034200	None
LOC_Os01g02720	Os01g0116600	None	ZS01g0025500
LOC_Os01g02730	Os01g0116800	MH01g0034700	None
LOC_Os01g02740	None	None	None
LOC_Os01g02750	Os01g0116900	None	None
LOC_Os01g02760	Os01g0117000	MH01g0034900	ZS01g0026400
LOC_Os01g02770	Os01g0117100	None	None
LOC_Os01g02780	Os01g0117200	None	None
LOC_Os01g02790	Os01g0117266	None	None
LOC_Os01g02790	Os01g0117300	None	None
LOC_Os01g02800	Os01g0117400	None	None
LOC_Os01g02810	Os01g0117500	None	None
LOC_Os01g02830	Os01g0117600	None	None
LOC_Os01g02840	Os01g0117700	None	None
LOC_Os01g02850	None	None	ZS01g0026500
LOC_Os01g02860	Os01g0117800	None	ZS01g0026600
LOC_Os01g02870	Os01g0117900	None	None
LOC_Os01g02880	Os01g0118000	None	None
LOC_Os01g02884	Os01g0118100	None	None
LOC_Os01g02890	Os01g0118300	MH01g0035600	ZS01g0027000
LOC_Os01g02900	Os01g0118400	MH01g0035700	None
LOC_Os01g02910	Os01g0118600	MH01g0036000	None
LOC_Os01g02920	Os01g0118700	MH01g0036100	None
LOC_Os01g02930	Os01g0119000	MH01g0036200	None
LOC_Os01g02940	Os01g0119100	MH01g0036300	ZS01g0027500
LOC_Os01g02940	Os01g0119050	MH01g0036300	ZS01g0027500
LOC_Os01g02950	None	None	None
LOC_Os01g02960	Os01g0119500	None	ZS01g0027800
LOC_Os01g02970	None	None	None
LOC_Os01g02980	Os01g0119700	None	None
LOC_Os01g02990	None	None	None
LOC_Os01g03010	None	None	None
LOC_Os01g03020	Os01g0120300	MH01g0037300	ZS01g0028200
LOC_Os01g03030	Os01g0120400	MH01g0037400	ZS01g0028300
LOC_Os01g03040	Os01g0120500	MH01g0037500	ZS01g0028400
LOC_Os01g03050	Os01g0120600	None	None
LOC_Os01g03060	Os01g0120700	None	None
LOC_Os01g03070	Os01g0120800	MH01g0037800	ZS01g0028700
LOC_Os01g03080	Os01g0121000	None	None
LOC_Os01g03090	Os01g0121100	MH01g0038000	None
LOC_Os01g03100	Os01g0121200	MH01g0038100	ZS01g0029000
LOC_Os01g03110	Os01g0121300	MH01g0038200	ZS01g0029100
LOC_Os01g03130	Os01g0121500	MH01g0038300	ZS01g0029200
LOC_Os01g03144	Os01g0121600	MH01g0038500	ZS01g0029400
LOC_Os01g03144	Os01g0121700	MH01g0038500	ZS01g0029400
LOC_Os01g03160	Os01g0121800	MH01g0038600	ZS01g0029500
LOC_Os01g03170	Os01g0121950	MH01g0038700	ZS01g0029600
LOC_Os01g03170	Os01g0121900	MH01g0038700	ZS01g0029600
LOC_Os01g03180	Os01g0122000	None	None
LOC_Os01g03190	Os01g0122200	MH01g0039000	ZS01g0029800
LOC_Os01g03200	None	None	None
LOC_Os01g03210	Os01g0122701	MH01g0039500	None
LOC_Os01g03220	Os01g0123100	MH01g0039600	ZS01g0030400
LOC_Os01g03230	None	None	ZS01g0030500
LOC_Os01g03240	None	None	None
LOC_Os01g03250	None	None	None
LOC_Os01g03260	Os01g0123200	MH01g0039900	None
LOC_Os01g03270	Os01g0123500	MH01g0040100	ZS01g0030800
LOC_Os01g03280	None	None	None
LOC_Os01g03290	Os01g0123700	None	ZS01g0031100
LOC_Os01g03300	Os01g0123800	MH01g0040300	ZS01g0031200
LOC_Os01g03310	Os01g0123900	None	None
LOC_Os01g03320	Os01g0124000	MH01g0040500	ZS01g0031400
LOC_Os01g03330	Os01g0124100	MH01g0040600	ZS01g0031500
LOC_Os01g03340	Os01g0124200	None	ZS01g0031600
LOC_Os01g03350	None	None	None
LOC_Os01g03360	Os01g0124401	None	None
LOC_Os01g03370	Os01g0124500	None	None
LOC_Os01g03380	Os01g0124600	None	None
LOC_Os01g03390	Os01g0124650	None	None
LOC_Os01g03400	Os01g0124900	None	None
LOC_Os01g03410	Os01g0124900	None	None
LOC_Os01g03420	Os01g0125000	None	None
LOC_Os01g03429	Os01g0125100	None	None
LOC_Os01g03440	None	MH01g0041100	None
LOC_Os01g03452	None	None	None
LOC_Os01g03464	Os01g0125500	None	None
LOC_Os01g03480	Os01g0125550	None	None
LOC_Os01g03490	Os01g0125600	None	None
LOC_Os01g03500	Os01g0125700	MH01g0041800	ZS01g0032600
LOC_Os01g03510	Os01g0125800	None	None
LOC_Os01g03520	Os01g0125900	MH01g0042000	ZS01g0032800
LOC_Os01g03530	Os01g0126100	None	None
LOC_Os01g03549	Os01g0126200	None	None
LOC_Os01g03570	Os01g0126600	None	None
LOC_Os01g03580	None	MH01g0042300	None
LOC_Os01g03590	None	None	None
LOC_Os01g03600	None	None	None
LOC_Os01g03610	None	None	None
LOC_Os01g03620	Os01g0126900	MH01g0043100	ZS01g0033100
LOC_Os01g03630	Os01g0127000	None	None
LOC_Os01g03640	Os01g0127200	None	None
LOC_Os01g03650	Os01g0127300	MH01g0043300	ZS01g0033600
LOC_Os01g03660	Os01g0127450	MH01g0043400	ZS01g0033700
LOC_Os01g03660	Os01g0127400	MH01g0043400	ZS01g0033700
LOC_Os01g03670	Os01g0127500	MH01g0043500	ZS01g0033800
LOC_Os01g03680	Os01g0127600	MH01g0043600	None
LOC_Os01g03690	Os01g0127700	MH01g0043700	ZS01g0034100
LOC_Os01g03710	Os01g0127900	MH01g0044100	ZS01g0034200
LOC_Os01g03720	Os01g0128000	MH01g0044200	ZS01g0034400
LOC_Os01g03730	Os01g0128200	MH01g0044400	ZS01g0034700
LOC_Os01g03740	Os01g0128100	MH01g0044300	ZS01g0034600
LOC_Os01g03750	Os01g0128300	MH01g0044500	ZS01g0034800
LOC_Os01g03760	Os01g0128400	MH01g0044600	ZS01g0034900
LOC_Os01g03770	None	None	None
LOC_Os01g03780	None	None	None
LOC_Os01g03790	None	None	None
LOC_Os01g03800	None	MH07g0143400	ZS01g0035400
LOC_Os01g03810	Os01g0128700	None	None
LOC_Os01g03820	Os01g0128800	MH01g0044900	ZS01g0035600
LOC_Os01g03830	None	None	ZS01g0035700
LOC_Os01g03840	Os01g0129200	None	None
LOC_Os01g03860	None	None	None
LOC_Os01g03870	Os01g0129500	MH01g0045100	ZS01g0036000
LOC_Os01g03880	None	None	None
LOC_Os01g03890	Os01g0129600	None	None
LOC_Os01g03900	Os01g0129800	MH01g0045500	ZS01g0036200
LOC_Os01g03914	Os01g0130000	None	ZS01g0036300
LOC_Os01g03930	None	None	None
LOC_Os01g03940	Os01g0130200	None	None
LOC_Os01g03950	Os01g0130400	MH01g0045900	ZS01g0036600
LOC_Os01g03960	None	None	None
LOC_Os01g03970	None	None	None
LOC_Os01g03980	Os01g0130900	None	None
LOC_Os01g03989	Os01g0131066	None	None
LOC_Os01g04000	Os01g0131200	None	None
LOC_Os01g04005	Os01g0131250	None	None
LOC_Os01g04010	Os01g0131300	MH01g0046400	ZS01g0037000
LOC_Os01g04020	Os01g0131600	None	None
LOC_Os01g04030	Os01g0131800	MH01g0046800	ZS01g0037300
LOC_Os01g04040	Os01g0131900	None	None
LOC_Os01g04050	Os01g0132000	None	None
LOC_Os01g04070	Os01g0132100	MH01g0047000	ZS01g0037500
LOC_Os01g04080	Os01g0132200	MH01g0047200	ZS01g0037600
LOC_Os01g04090	Os01g0132400	MH01g0047300	ZS01g0037700
LOC_Os01g04100	Os01g0132500	None	None
LOC_Os01g04110	Os01g0132700	None	None
LOC_Os01g04120	Os01g0132766	None	None
LOC_Os01g04130	Os01g0132800	None	None
LOC_Os01g04140	None	None	None
LOC_Os01g04150	None	None	None
LOC_Os01g04160	Os01g0133100	MH01g0049400	ZS01g0039600
LOC_Os01g04170	Os01g0133200	None	ZS01g0039700
LOC_Os01g04180	None	None	ZS01g0039800
LOC_Os01g04190	Os01g0133400	MH01g0049300	ZS01g0039900
LOC_Os01g04200	Os01g0133500	MH01g0049200	ZS01g0040000
LOC_Os01g04210	Os01g0133600	None	None
LOC_Os01g04220	Os01g0133700	None	None
LOC_Os01g04230	Os01g0133900	None	None
LOC_Os01g04250	Os01g0134200	None	None
LOC_Os01g04260	Os01g0134500	MH01g0049800	ZS01g0040400
LOC_Os01g04270	None	None	None
LOC_Os01g04280	Os01g0134700	MH01g0049900	ZS01g0040500
LOC_Os01g04290	Os01g0134800	None	None
LOC_Os01g04300	Os01g0134900	None	None
LOC_Os01g04310	None	None	None
LOC_Os01g04320	None	None	None
LOC_Os01g04324	Os01g0135600	None	None
LOC_Os01g04330	Os01g0135700	None	None
LOC_Os01g04340	Os01g0135800	None	None
LOC_Os01g04350	Os01g0135900	MH01g0050600	ZS01g0041100
LOC_Os01g04360	Os01g0136000	None	None
LOC_Os01g04370	Os01g0136100	MH01g0050800	None
LOC_Os01g04380	Os01g0136200	MH01g0051000	ZS01g0041300
LOC_Os01g04390	Os01g0136300	None	None
LOC_Os01g04409	Os01g0136400	None	None
LOC_Os01g04430	Os01g0136501	None	None
LOC_Os01g04440	Os01g0136700	None	None
LOC_Os01g04450	Os01g0136800	None	None
LOC_Os01g04460	Os01g0136900	None	None
LOC_Os01g04470	Os01g0137400	None	None
LOC_Os01g04480	Os01g0137200	None	None
LOC_Os01g04480	Os01g0137250	None	None
LOC_Os01g04490	Os01g0137282	MH01g0052400	ZS01g0042800
LOC_Os01g04490	Os01g0137400	MH01g0052400	ZS01g0042800
LOC_Os01g04500	Os01g0137300	None	ZS01g0042900
LOC_Os01g04510	None	None	None
LOC_Os01g04520	Os01g0137500	MH01g0052600	ZS01g0043000
LOC_Os01g04530	Os01g0137600	None	None
LOC_Os01g04540	Os01g0137700	None	None
LOC_Os01g04550	Os01g0137950	None	None
LOC_Os01g04560	None	None	None
LOC_Os01g04570	Os01g0138300	MH01g0054500	ZS01g0045000
LOC_Os01g04580	Os01g0138400	None	ZS01g0045100
LOC_Os01g04590	Os01g0138500	MH01g0054700	ZS01g0045200
LOC_Os01g04600	Os01g0138600	MH01g0054800	ZS01g0045300
LOC_Os01g04610	None	MH01g0054900	None
LOC_Os01g04620	Os01g0138800	None	ZS01g0045500
LOC_Os01g04630	Os01g0138900	None	None
LOC_Os01g04640	Os01g0139000	None	None
LOC_Os01g04650	Os01g0139200	MH01g0055400	ZS01g0045800
LOC_Os01g04660	Os01g0139600	None	None
LOC_Os01g04670	Os01g0139700	None	None
LOC_Os01g04680	None	None	None
LOC_Os01g04690	Os01g0139900	None	None
LOC_Os01g04699	None	None	None
LOC_Os01g04710	Os01g0140100	None	ZS01g0046400
LOC_Os01g04720	Os01g0140400	MH01g0056000	ZS01g0046500
LOC_Os01g04730	Os01g0140500	MH01g0056100	ZS01g0046600
LOC_Os01g04740	None	None	ZS01g0046700
LOC_Os01g04750	Os01g0140700	MH01g0056400	ZS01g0046800
LOC_Os01g04760	None	None	None
LOC_Os01g04770	None	None	ZS01g0046900
LOC_Os01g04780	None	None	ZS01g0047000
LOC_Os01g04790	None	None	None
LOC_Os01g04800	Os01g0141000	None	ZS01g0047400
LOC_Os01g04814	Os01g0141100	None	ZS01g0047500
LOC_Os01g04830	Os01g0141200	None	None
LOC_Os01g04840	Os01g0141300	None	ZS01g0047700
LOC_Os01g04850	None	None	None
LOC_Os01g04860	Os01g0141600	None	None
LOC_Os01g04870	Os01g0141700	None	None
LOC_Os01g04880	Os01g0141900	MH01g0057100	ZS01g0048100
LOC_Os01g04900	Os01g0142100	MH01g0057200	ZS01g0048200
LOC_Os01g04910	Os01g0142200	MH01g0057300	ZS01g0048300
LOC_Os01g04920	Os01g0142300	MH01g0057400	ZS01g0048400
LOC_Os01g04930	Os01g0142500	MH01g0057500	ZS01g0048500
LOC_Os01g04950	Os01g0142600	MH01g0057600	ZS01g0048600
LOC_Os01g04950	Os01g0142800	MH01g0057600	ZS01g0048600
LOC_Os01g04960	None	None	None
LOC_Os01g04970	None	None	None
LOC_Os01g04980	None	None	None
LOC_Os01g04990	Os01g0143100	MH01g0057900	ZS01g0049000
LOC_Os01g05000	Os01g0143200	MH01g0058000	ZS01g0049100
LOC_Os01g05010	Os01g0143300	MH01g0058100	ZS01g0049200
LOC_Os01g05020	Os01g0143400	MH01g0058200	ZS01g0049300
LOC_Os01g05030	None	None	ZS03g0153600
LOC_Os01g05040	Os01g0143650	MH01g0058500	ZS01g0049500
LOC_Os01g05040	Os01g0143600	MH01g0058500	ZS01g0049500
LOC_Os01g05050	Os01g0143700	None	None
LOC_Os01g05060	Os01g0143800	None	None
LOC_Os01g05064	Os01g0143900	None	None
LOC_Os01g05070	Os01g0144000	None	None
LOC_Os01g05080	Os01g0144100	None	None
LOC_Os01g05090	Os01g0144200	None	None
LOC_Os01g05100	Os01g0144300	None	ZS01g0049900
LOC_Os01g05105	Os01g0144380	None	None
LOC_Os01g05120	Os01g0144500	MH01g0059100	ZS01g0050100
LOC_Os01g05130	Os01g0144600	MH01g0059200	ZS01g0050200
LOC_Os01g05140	Os01g0144700	None	None
LOC_Os01g05150	Os01g0144800	MH01g0059300	None
LOC_Os01g05160	None	None	None
LOC_Os01g05170	Os01g0145000	MH01g0059500	None
LOC_Os01g05180	Os01g0145200	None	None
LOC_Os01g05200	None	None	None
LOC_Os01g05210	Os01g0145400	None	None
LOC_Os01g05220	Os01g0145500	None	None
LOC_Os01g05240	None	None	None
LOC_Os01g05250	Os01g0145800	None	None
LOC_Os01g05260	Os01g0145900	None	None
LOC_Os01g05280	Os01g0146000	None	None
LOC_Os01g05289	Os01g0146101	None	None
LOC_Os01g05300	None	None	None
LOC_Os01g05310	Os01g0146200	None	None
LOC_Os01g05320	None	None	None
LOC_Os01g05330	None	None	None
LOC_Os01g05340	Os01g0146500	None	None
LOC_Os01g05350	None	None	None
LOC_Os01g05360	None	None	None
LOC_Os01g05370	Os01g0146700	None	None
LOC_Os01g05380	Os01g0146801	None	None
LOC_Os01g05390	Os01g0146900	None	None
LOC_Os01g05400	Os01g0147001	None	None
LOC_Os01g05410	Os01g0147100	None	None
LOC_Os01g05420	Os01g0147200	MH01g0060800	ZS01g0052800
LOC_Os01g05430	Os01g0147300	None	None
LOC_Os01g05440	Os01g0147400	None	ZS01g0053000
LOC_Os01g05450	Os01g0147600	None	None
LOC_Os01g05460	Os01g0147600	MH01g0061500	ZS01g0053200
LOC_Os01g05470	Os01g0147700	MH01g0061700	ZS01g0053400
LOC_Os01g05480	Os01g0147800	None	ZS01g0053500
LOC_Os01g05490	Os01g0147900	None	ZS01g0053600
LOC_Os01g05500	Os01g0148050	MH01g0062100	ZS01g0053700
LOC_Os01g05500	Os01g0148000	MH01g0062100	ZS01g0053700
LOC_Os01g05510	Os01g0148100	MH01g0062200	ZS01g0053800
LOC_Os01g05520	Os01g0148200	None	None
LOC_Os01g05530	Os01g0148400	MH01g0062600	ZS01g0054200
LOC_Os01g05540	Os01g0148500	MH01g0062700	ZS01g0054300
LOC_Os01g05550	None	MH01g0062800	None
LOC_Os01g05560	Os01g0148700	MH01g0063000	ZS01g0054500
LOC_Os01g05570	None	None	None
LOC_Os01g05580	None	None	None
LOC_Os01g05585	Os01g0149200	None	None
LOC_Os01g05590	Os01g0149300	None	None
LOC_Os01g05600	Os01g0149350	None	None
LOC_Os01g05610	Os01g0149400	MH01g0063600	None
LOC_Os01g05620	Os01g0149500	None	None
LOC_Os01g05630	Os01g0149600	None	ZS01g0055000
LOC_Os01g05640	Os01g0149700	MH01g0063900	ZS01g0055400
LOC_Os01g05650	Os01g0149800	MH01g0064000	ZS01g0055500
LOC_Os01g05660	Os01g0149900	MH01g0064100	ZS01g0055600
LOC_Os01g05670	Os01g0150000	MH01g0064200	ZS01g0055700
LOC_Os01g05680	Os01g0150100	None	None
LOC_Os01g05694	Os01g0150200	None	None
LOC_Os01g05710	Os01g0150400	None	None
LOC_Os01g05720	Os01g0150500	None	None
LOC_Os01g05730	Os01g0150700	None	None
LOC_Os01g05744	Os01g0150800	None	ZS01g0056300
LOC_Os01g05760	Os01g0150900	None	None
LOC_Os01g05770	Os01g0150950	None	None
LOC_Os01g05780	Os01g0150900	None	None
LOC_Os01g05790	Os01g0151100	MH01g0065100	ZS01g0056600
LOC_Os01g05800	Os01g0151200	MH01g0065200	ZS01g0056700
LOC_Os01g05810	Os01g0151400	None	None
LOC_Os01g05820	Os01g0151500	None	None
LOC_Os01g05830	Os01g0151600	MH01g0065400	ZS01g0056900
LOC_Os01g05840	Os01g0151700	None	None
LOC_Os01g05850	Os01g0151800	None	None
LOC_Os01g05860	Os01g0151900	MH01g0065500	ZS01g0057200
LOC_Os01g05870	Os01g0152000	None	None
LOC_Os01g05880	Os01g0152100	MH01g0066000	None
LOC_Os01g05890	Os01g0152200	None	ZS01g0057500
LOC_Os01g05900	Os01g0152300	None	None
LOC_Os01g05940	Os01g0152600	None	None
LOC_Os01g05940	Os01g0152687	None	None
LOC_Os01g05960	Os01g0152800	MH01g0066800	None
LOC_Os01g05970	Os01g0152900	None	None
LOC_Os01g05970	Os01g0153100	None	None
LOC_Os01g05980	Os01g0153000	None	ZS01g0058200
LOC_Os01g06000	Os01g0153200	None	None
LOC_Os01g06000	Os01g0153250	None	None
LOC_Os01g06010	Os01g0153300	MH01g0067900	ZS01g0058700
LOC_Os01g06020	Os01g0153400	None	None
LOC_Os01g06030	Os01g0153500	MH01g0068100	ZS01g0058900
LOC_Os01g06040	Os01g0153600	None	None
LOC_Os01g06050	Os01g0153700	None	None
LOC_Os01g06060	Os01g0153800	MH01g0068600	ZS01g0059500
LOC_Os01g06070	Os01g0153900	None	None
LOC_Os01g06080	Os01g0153950	None	None
LOC_Os01g06080	Os01g0154000	None	None
LOC_Os01g06090	Os01g0154100	MH01g0068800	None
LOC_Os01g06100	None	None	None
LOC_Os01g06110	None	None	None
LOC_Os01g06120	Os01g0154200	MH01g0068900	None
LOC_Os01g06130	Os01g0154300	None	None
LOC_Os01g06140	Os01g0154500	None	None
LOC_Os01g06150	Os01g0154600	None	None
LOC_Os01g06160	None	None	None
LOC_Os01g06170	None	None	None
LOC_Os01g06180	None	None	None
LOC_Os01g06200	None	MH01g0069300	ZS01g0060200
LOC_Os01g06210	None	MH01g0069400	ZS01g0060300
LOC_Os01g06220	Os01g0155000	MH01g0069600	ZS01g0060500
LOC_Os01g06230	Os01g0155100	None	None
LOC_Os01g06240	Os01g0155200	MH01g0069800	ZS01g0060700
LOC_Os01g06250	Os01g0155300	None	None
LOC_Os01g06260	None	None	None
LOC_Os01g06270	Os01g0155400	MH01g0070000	ZS01g0060900
LOC_Os01g06280	Os01g0155500	MH01g0070100	ZS01g0061000
LOC_Os01g06290	Os01g0155600	MH01g0070200	ZS01g0061100
